State,Regulator,Parameter,Value,Unit,Applicability,Consumer Category,Voltage Level,DISCOM,Procurement Type,Technology,Effective From,Effective To,Tariff Year,Document,Regulation,Clause,Page,Source URL,Status,Notes
Rajasthan,RERC,Wheeling Charge,0.01,₹/kWh,Open Access,,132 kV and above,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,Table 115,207,,Verified,Approved wheeling charge for FY 2026-27
Rajasthan,RERC,Wheeling Charge,0.09,₹/kWh,Open Access,,33 kV,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,Table 115,207,,Verified,Approved wheeling charge for FY 2026-27
Rajasthan,RERC,Wheeling Charge,0.69,₹/kWh,Open Access,,11 kV,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,Table 115,207,,Verified,Approved wheeling charge for FY 2026-27
Rajasthan,RERC,Wheeling Charge,1.93,₹/kWh,Open Access,,LT,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,Table 115,207,,Verified,Approved wheeling charge for FY 2026-27
Rajasthan,RERC,Cross Subsidy Surcharge,1.48,₹/kWh,Open Access,Non-Domestic Service,11 kV,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,CSS approved value,207,,Verified,Final approved CSS; subject to applicable exemptions
Rajasthan,RERC,Cross Subsidy Surcharge,1.48,₹/kWh,Open Access,Non-Domestic Service,33 kV,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,CSS approved value,207,,Verified,Final approved CSS; subject to applicable exemptions
Rajasthan,RERC,Cross Subsidy Surcharge,1.48,₹/kWh,Open Access,Non-Domestic Service,132 kV and above,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,CSS approved value,207,,Verified,Final approved CSS; subject to applicable exemptions
Rajasthan,RERC,Cross Subsidy Surcharge,1.48,₹/kWh,Open Access,Mixed Load / Bulk Supply,All applicable voltage levels,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,CSS approved value,207,,Verified,Final approved CSS; subject to applicable exemptions
Rajasthan,RERC,Cross Subsidy Surcharge,1.48,₹/kWh,Open Access,Large Industrial Service,All applicable voltage levels,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,CSS approved value,207,,Verified,Final approved CSS; subject to applicable exemptions
Rajasthan,RERC,Additional Surcharge,0.5,₹/kWh,Open Access,Eligible Open Access Consumers,,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,Approved Additional Surcharge,207,,Verified,Final approved Additional Surcharge for FY 2026-27
Rajasthan,RERC,Additional Surcharge,0.0,₹/kWh,Captive Consumption,Captive Consumer,,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,Captive exemption,207,,Verified,Additional surcharge exemption for eligible captive consumption
Rajasthan,RERC,Transmission Loss,4.05,%,Intra-State Transmission,,,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,Approved transmission loss,208,,Verified,Approved intra-state transmission loss for FY 2026-27
Rajasthan,RERC,Transmission Loss,3.76,%,Inter-State Transmission,,,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,Approved transmission loss,208,,Verified,Approved inter-state transmission loss for FY 2026-27
Rajasthan,RERC,Wheeling Loss,12.6,%,Distribution Wheeling,,11 kV,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,Voltage-wise approved distribution loss,208,,Verified,Approved distribution loss component at 11 kV
Rajasthan,RERC,Wheeling Loss,3.8,%,Distribution Wheeling,,33 kV,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,Voltage-wise approved distribution loss,208,,Verified,Approved distribution loss component at 33 kV
Rajasthan,RERC,Wheeling Loss,0.0,%,Distribution Wheeling,,132 kV,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,Voltage-wise approved distribution loss,208,,Verified,Approved distribution loss component at 132 kV
Rajasthan,RERC,Average Cost of Supply,7.42,₹/kWh,Rajasthan DISCOMs / State,,,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,Average Cost of Supply,207,,Verified,Average Cost of Supply used for determining the Cross Subsidy Surcharge ceiling
Rajasthan,RERC,CSS Maximum,1.48,₹/kWh,General Open Access,,,,,,2026-04-01,,FY 2026-27,RERC_TariffOrders.pdf,,Cross Subsidy Surcharge ceiling,207,,Verified,20% of Average Cost of Supply; final approved CSS ceiling
Rajasthan,RERC,GEOA Application Fee,100000.0,₹/application,Long-term GEOA,,,,Long-term,,2025-07-17,,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 7,39,,Verified,Application fee for long-term Green Energy Open Access
Rajasthan,RERC,GEOA Application Fee,20000.0,₹/application,Medium-term GEOA,,,,Medium-term,,2025-07-17,,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 7,39,,Verified,Application fee for medium-term Green Energy Open Access
Rajasthan,RERC,GEOA Application Fee,5000.0,₹/application,Short-term GEOA,,,,Short-term,,2025-07-17,,,RERC_Green_Energy_Open_Access_Regulations_2025.pdf,"RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 7,39,,Verified,Application fee for short-term Green Energy Open Access
