State,Regulator,Parameter,Value,Unit,Applicability,Consumer Category,Voltage Level,DISCOM,Procurement Type,Technology,Effective From,Effective To,Document,Regulation,Clause,Page,Source URL,Status,Notes,Parameter ID
Rajasthan,RERC,GEOA Minimum Contract Demand / Sanctioned Load,100,kW,Non-captive Green Energy Open Access Consumer,Non-captive,All,All,Green Energy Open Access,Renewable Energy,2025-07-17,,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 5(i) / proviso,37,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Contract demand or sanctioned load of 100 kW or more through single connection or multiple connections aggregating 100 kW or more in the same electricity division.,geoa_minimum_load
Rajasthan,RERC,GEOA Minimum Load Limitation for Captive Consumer,0,kW,Captive Green Energy Open Access Consumer,Captive,All,All,Green Energy Open Access,Renewable Energy,2025-07-17,,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 5(i) / proviso,37,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,No lower limit with respect to contracted load or sanctioned load for captive use. Value 0 is used only as a database representation of 'no lower limit'.,captive_minimum_load
Rajasthan,RERC,Long-term GEOA Duration,25,years,Long-term GEOA,All eligible consumers,All,All,Green Energy Open Access,Renewable Energy,2025-07-17,,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 4(i),36,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Long-term GEOA means a period exceeding 12 years but not exceeding 25 years.,long_term_geoa_duration
Rajasthan,RERC,Medium-term GEOA Duration,3,years,Medium-term GEOA,All eligible consumers,All,All,Green Energy Open Access,Renewable Energy,2025-07-17,,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 4(ii),36,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Medium-term GEOA means a period exceeding 3 months but not exceeding 3 years.,medium_term_geoa_duration
Rajasthan,RERC,Short-term GEOA Duration,1,month,Short-term GEOA,All eligible consumers,All,All,Green Energy Open Access,Renewable Energy,2025-07-17,,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 4(iii),36,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Short-term GEOA means open access for a period up to one month at a time.,short_term_geoa_duration
Rajasthan,RERC,Maximum RE Captive Plant Capacity,200,% of Contract Demand,New Renewable Energy based captive power plant,Captive,All,All,Captive,Renewable Energy,2025-07-17,,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 5(i) / proviso,37,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,"Maximum permissible capacity of an individual new renewable energy based captive power plant, including RE plant installed behind the meter, is up to 200% of contract demand.",maximum_captive_capacity
Rajasthan,RERC,Banking Eligibility,Yes,Boolean,RE captive power plant up to 100% of Contract Demand,Captive,All,All,Captive,Renewable Energy,2025-07-17,2030-03-31,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.8(A)(iii),45,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Banking allowed only for captive consumption within Rajasthan.,banking_eligibility
Rajasthan,RERC,Banking Ceiling Based on Energy Injected,25,% of monthly energy injected,RE captive power plant up to 100% of Contract Demand,Captive,All,All,Captive,Renewable Energy,2025-07-17,2030-03-31,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.8(A)(iii),45,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Maximum banking ceiling is 25% of energy injected during the month.,banking_ceiling_energy_injected
Rajasthan,RERC,Banking Ceiling Based on Monthly Consumption,30,% of monthly consumption,RE captive power plant up to 100% of Contract Demand,Captive,All,All,Captive,Renewable Energy,2025-07-17,2030-03-31,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.8(A)(iii),45,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Banking ceiling is the higher of 25% of monthly injected energy or 30% of monthly consumption from the Distribution Licensee.,banking_ceiling_monthly_consumption
Rajasthan,RERC,Banking Settlement Basis,Annual,Settlement period,RE captive power plant up to 100% of Contract Demand,Captive,All,All,Captive,Renewable Energy,2025-07-17,2030-03-31,"RERC Green Energy Open Access Regulations, 2025","RERC (Terms and Conditions for Green Energy Open Access) Regulations, 2025",Regulation 11.8(A),45,https://rerc.rajasthan.gov.in/Regulations,Verified from Regulation,Banking is allowed on annual basis.,banking_settlement_basis
